Company,Address,Loadtimes
Mypup,"H.J.E. Wenckebachweg 6 V15, 1096 AN Amsterdam NL",0
    Joan Muyskenweg 4 ,"Joan Muyskenweg 4, 1096 CJ Amsterdam NL",5
    Joan Muyskenweg 6 ,"Joan Muyskensweg 6, 1096 CJ Amsterdam NL",5
    Spakler ,"Spaklerweg 12 C, 1096 BA Amsterdam NL",5
    HVA KSH ,"Wibautstraat 2-4 KSH Amstelcampus, 1091GM Amsterdam NL",5
    HVA WBH ,"Wibautstraat 3b, 1091GH Amsterdam NL",5
    UVA BH / OIH ,"Kloveniersburgwal 48, 1012CX Amsterdam NL",5
    UVA HVA LWB Privé ,"Weesperzijde 190, 1097DZ Amsterdam NL",5
    UVA PCH ,"Spuistraat 134, 1012VB Amsterdam NL",5
    UVA REC ABC ,"Nieuwe Achtergracht 166, 1018 WV  Amsterdam NL",5
    UVA REC M ,"Plantage Muidergracht 12, 1018TV Amsterdam NL",5
    UVA UB Singel 425 ,"Singel 425, 1012WP Amsterdam NL",5
    Booking.com Atrium ,"Parnasusweg 713-721, 1077DG Amsterdam NL",10
    Epicenter A'dam ,"Fred Roeskestraat 115-117-123, 1076 EE Amsterdam NL",8
    Halve Maen ,"Spadinalaan 94 t/m 266, 1031KA Amsterdam NL",5
    The Curve ,"Tt. Vasumweg 58, 1032 KK AMSTERDAM NL",5
    Statendam ,"Ceramiquelaan-Hammerbystraat, 1031KA Amsterdam NL",5
    Nationale Nederlanden Amsterdam ,"Amstelplein 6, 1096 BC AMSTERDAM NL",5
    Infinity ,"Amstelveenseweg 500, 1081 KL Amsterdam NL",5
