"Company","Address","Loadtimes","Demands","Timewindow",""
"Mypup","H.J.E. Wenckebachweg 6 V15, 1096 AN Amsterdam NL","0","0","(0, 0)",""
"    ABN AMRO FOP ","Foppingadreef 22, 1102 BS Amsterdam NL","15","15","(0, 14400)",""
"    ABN AMRO GML ","Gustav Mahlerlaan 10, 1082 PP Amsterdam NL","20","20","(0, 14400)",""
"    Adam Smith ","Thomas R. Malthusstraat 1-3, 1066 JR AMSTERDAM NL","9","9","(0, 14400)",""
"    Allen & Overy ","Apollolaan 15, 1077 AB Amsterdam NL","15","15","(0, 14400)",""
"    AMC J0 ","Meibergdreef 9 (ingang faculteit), 1105 AZ Amsterdam-Zuidoost NL","10","10","(0, 14400)",""
"    AMC M01 ","Meibergdreef 9, 1105 AZ AMSTERDAM NL","15","15","(0, 14400)",""
"    Antoni van Leeuwenhoek Nederlands Kanker Instituut ","Plesmanlaan 121, 1066 CX Amsterdam NL","11","11","(0, 14400)",""
"    Booking.com Aurora ","Stadhouderskade 2, 1054 ES Amsterdam NL","25","25","(0, 5400)",""
"    Booking.com Bloom House ","Reguliersdwarsstraat 39, 1017 BM Amsterdam","20","20","(0, 5400)",""
"    Booking.com Nieuwe Weteringstraat ","Nieuwe Weteringstraat 36-38, 1017 ZX AMSTERDAM NL","10","10","(0, 5400)",""
"    Booking.com Piet Hein servicedesk ","Piet HeinKade 61, 1019 GM AMSTERDAM NL","25","25","(0, 5400)",""
"    Booking.com Prins & Keizer ","Vijzelstraat 68, 1017 HL Amsterdam NL","60","60","(0, 5400)",""
"    Booking.com The Bank","Amstelstraat 12, 1017 DA Amsterdam","65","100","(0, 5400)",""
"    Bright Offices La Guardiaweg ","La Guardiaweg 94-114, 1043 DL Amsterdam NL","8","8","(0, 14400)",""
"    CBRE The Core ","Anthony Fokkerweg 15, 1059 CM Amsterdam NL","5","5","(0, 14400)",""
"    De Keizer Amstelveen ","Christiaan Huygenshof 1, 1185 XH AMSTELVEEN NL","8","8","(0, 14400)",""
"    Heineken Zoeterwoude ","Burgemeester Smeetsweg 1, 2382 PH Zoeterwoude NL","5","5","(0, 3600)",""
"    Holland Park","Eekholt 42, 1112XH Diemen NL","12","12","(0, 14400)",""
"    HUT Beursstraat ","Beursstraat 33, 1012 JV AMSTERDAM NL","5","5","(0, 14400)",""
"    HUT Warmoesstraat ","Oudebrugsteeg 16A, 1012 JP Amsterdam","5","5","(0, 14400)",""
"    HVA DMH ","Dokter Meurerlaan 8 Sportcampus, 1067SM Amsterdam NL","5","5","(0, 14400)",""
"    HVA FMB ","Businesscampus, Fraijlemaborg 133, 1102CV Amsterdam NL","5","5","(0, 14400)",""
"    HVA NTH ","Tafelbergweg 51 Gezondheidscampus , 1105BD Amsterdam NL","5","5","(0, 14400)",""
"    IBM HDK 0 ","Johan Huizingalaan 765, 1066 VH Amsterdam NL","8","8","(0, 14400)",""
"    Ijland","Bert Haanstra kade 996, 1087HM Amsterdam NL","20","20","(0, 14400)",""
"    ING ACT Amsterdam ","Bijlmerdreef 24 , 1102 CT AMSTERDAM NL","15","15","(0, 14400)",""
"    KLM Bemanningscentrum ","Havenmeesterweg 27, 1118 CB Amsterdam NL","6","6","(0, 5400)",""
"    Laan van Langerhuize 1 ","Laan van Langerhuize 1, 1186 DS AMSTELVEEN NL","15","15","(0, 14400)",""
"    Liberty Global ","Boeing Avenue 53, 1119 PE Schiphol-rijk NL","40","40","(0, 14400)",""
"    Netflix Amsterdam ","Stadhouderskade 55, 1072 AB Amsterdam NL","15","15","(0, 14400)",""
"    Newday Offices Almere ","P.J. Oudweg 41, 1314 CJ Almere NL","5","5","(0, 3600)",""
"    Nieuw Amsterdam ","Hoekenrode 3, 1102BR Amsterdam NL","5","5","(0, 14400)",""
"    OurCampus/Domain Amsterdam Diemen ","Dalsteindreef 2002, 1112 XC Diemen NL","50","50","(0, 14400)",""
"    Palo Alto Networks ","De Entrée 99-197, Oval Tower, Floor 1, 1101 HE Amsterdam NL","9","9","(0, 14400)",""
